sample,class,ks1_cycles,ks2_cycles,modelled_cycles,ks1_calls,ks2_calls,host_ns
353,0,738,9569,10307,256,1024,50708.3
354,0,738,9569,10307,256,1024,50666.7
355,1,685,9607,10292,256,1024,50625.0
356,1,685,9491,10176,256,1024,50666.7
357,1,670,9528,10198,256,1024,50583.3
358,1,682,9577,10259,256,1024,50708.3
359,0,738,9569,10307,256,1024,50708.3
360,1,676,9486,10162,256,1024,50708.3
361,0,738,9569,10307,256,1024,50666.7
362,0,738,9569,10307,256,1024,50666.7
363,0,738,9569,10307,256,1024,50583.3
364,0,738,9569,10307,256,1024,50583.3
365,1,674,9585,10259,256,1024,50666.7
366,1,666,9566,10232,256,1024,50708.3
367,0,738,9569,10307,256,1024,53416.7
368,0,738,9569,10307,256,1024,50666.7
369,0,738,9569,10307,256,1024,50708.3
370,0,738,9569,10307,256,1024,50666.7
371,0,738,9569,10307,256,1024,50666.7
372,1,688,9529,10217,256,1024,50750.0
373,1,689,9633,10322,256,1024,50666.7
374,0,738,9569,10307,256,1024,50625.0
375,1,687,9563,10250,256,1024,50625.0
376,1,675,9545,10220,256,1024,50666.7
377,1,688,9434,10122,256,1024,50625.0
378,0,738,9569,10307,256,1024,50625.0
379,0,738,9569,10307,256,1024,50791.7
380,0,738,9569,10307,256,1024,50666.7
381,1,683,9685,10368,256,1024,50583.3
382,0,738,9569,10307,256,1024,50708.3
383,0,738,9569,10307,256,1024,50666.7
384,0,738,9569,10307,256,1024,50750.0
385,1,689,9478,10167,256,1024,50625.0
386,1,689,9589,10278,256,1024,50625.0
387,1,677,9605,10282,256,1024,50666.7
388,1,680,9627,10307,256,1024,50625.0
389,1,676,9558,10234,256,1024,50625.0
390,0,738,9569,10307,256,1024,50708.3
391,0,738,9569,10307,256,1024,50625.0
392,0,738,9569,10307,256,1024,56333.3
393,0,738,9569,10307,256,1024,53708.3
394,0,738,9569,10307,256,1024,54333.3
395,1,681,9536,10217,256,1024,54291.7
396,0,738,9569,10307,256,1024,54291.7
397,1,667,9566,10233,256,1024,54291.7
398,1,678,9570,10248,256,1024,54333.3
399,0,738,9569,10307,256,1024,54708.3
400,0,738,9569,10307,256,1024,51750.0
401,0,738,9569,10307,256,1024,50666.7
402,1,670,9524,10194,256,1024,50750.0
403,1,683,9507,10190,256,1024,50750.0
404,1,692,9557,10249,256,1024,50708.3
405,1,684,9513,10197,256,1024,50708.3
406,1,686,9578,10264,256,1024,50791.7
407,0,738,9569,10307,256,1024,50541.7
408,1,680,9531,10211,256,1024,50625.0
409,1,689,9547,10236,256,1024,50750.0
410,1,686,9537,10223,256,1024,50708.3
411,0,738,9569,10307,256,1024,50625.0
412,0,738,9569,10307,256,1024,50625.0
413,0,738,9569,10307,256,1024,50708.3
414,1,667,9536,10203,256,1024,50625.0
415,1,681,9605,10286,256,1024,50583.3
416,1,671,9449,10120,256,1024,51750.0
417,1,686,9531,10217,256,1024,72333.3
418,1,690,9570,10260,256,1024,59291.7
419,0,738,9569,10307,256,1024,56083.3
420,1,671,9492,10163,256,1024,55083.3
421,0,738,9569,10307,256,1024,54916.7
422,0,738,9569,10307,256,1024,54666.7
423,1,693,9535,10228,256,1024,54708.3
424,0,738,9569,10307,256,1024,53166.7
425,0,738,9569,10307,256,1024,52375.0
426,1,680,9604,10284,256,1024,52375.0
427,0,738,9569,10307,256,1024,52333.3
428,1,676,9549,10225,256,1024,52333.3
429,0,738,9569,10307,256,1024,52375.0
430,1,666,9542,10208,256,1024,52416.7
431,1,696,9561,10257,256,1024,52416.7
432,0,738,9569,10307,256,1024,63750.0
433,1,680,9555,10235,256,1024,53041.7
434,0,738,9569,10307,256,1024,55666.7
435,0,738,9569,10307,256,1024,54333.3
436,1,688,9538,10226,256,1024,54375.0
437,1,686,9516,10202,256,1024,54333.3
438,0,738,9569,10307,256,1024,54250.0
439,1,678,9567,10245,256,1024,54500.0
440,1,679,9559,10238,256,1024,54333.3
441,0,738,9569,10307,256,1024,53250.0
442,1,680,9603,10283,256,1024,52541.7
443,0,738,9569,10307,256,1024,52416.7
444,1,680,9553,10233,256,1024,52375.0
445,1,688,9572,10260,256,1024,52291.7
446,1,689,9545,10234,256,1024,52291.7
447,1,680,9575,10255,256,1024,52375.0
448,0,738,9569,10307,256,1024,52375.0
449,1,687,9532,10219,256,1024,52333.3
450,0,738,9569,10307,256,1024,52416.7
451,1,694,9641,10335,256,1024,52333.3
452,0,738,9569,10307,256,1024,52416.7
453,0,738,9569,10307,256,1024,52458.3
454,1,672,9532,10204,256,1024,52333.3
455,0,738,9569,10307,256,1024,52458.3
456,1,675,9576,10251,256,1024,54208.3
457,1,665,9653,10318,256,1024,54125.0
458,1,682,9529,10211,256,1024,54291.7
459,1,676,9479,10155,256,1024,54291.7
460,1,685,9609,10294,256,1024,54208.3
461,0,738,9569,10307,256,1024,54291.7
462,0,738,9569,10307,256,1024,54291.7
463,1,695,9485,10180,256,1024,74875.0
464,1,671,9462,10133,256,1024,54916.7
465,0,738,9569,10307,256,1024,54500.0
466,1,673,9601,10274,256,1024,54250.0
467,1,691,9495,10186,256,1024,54291.7
468,0,738,9569,10307,256,1024,54375.0
469,0,738,9569,10307,256,1024,54291.7
470,1,676,9572,10248,256,1024,54250.0
471,0,738,9569,10307,256,1024,54291.7
472,1,686,9579,10265,256,1024,54291.7
473,1,699,9588,10287,256,1024,54375.0
474,0,738,9569,10307,256,1024,54166.7
475,0,738,9569,10307,256,1024,54291.7
476,1,673,9579,10252,256,1024,54291.7
477,1,678,9586,10264,256,1024,54333.3
478,1,682,9478,10160,256,1024,54416.7
479,0,738,9569,10307,256,1024,54333.3
480,1,677,9596,10273,256,1024,54208.3
481,1,681,9515,10196,256,1024,52666.7
482,0,738,9569,10307,256,1024,52291.7
483,0,738,9569,10307,256,1024,52416.7
484,0,738,9569,10307,256,1024,52375.0
485,0,738,9569,10307,256,1024,52416.7
486,1,672,9568,10240,256,1024,52458.3
487,1,681,9578,10259,256,1024,52375.0
488,0,738,9569,10307,256,1024,51208.3
489,1,684,9560,10244,256,1024,50666.7
490,0,738,9569,10307,256,1024,50708.3
491,1,673,9527,10200,256,1024,50625.0
492,1,662,9498,10160,256,1024,50625.0
493,0,738,9569,10307,256,1024,50625.0
494,0,738,9569,10307,256,1024,50666.7
495,1,679,9610,10289,256,1024,50625.0
496,0,738,9569,10307,256,1024,50541.7
497,0,738,9569,10307,256,1024,50666.7
498,1,673,9618,10291,256,1024,50666.7
499,1,680,9603,10283,256,1024,50666.7
500,1,678,9494,10172,256,1024,50625.0
501,1,691,9619,10310,256,1024,50625.0
502,0,738,9569,10307,256,1024,50666.7
503,1,666,9583,10249,256,1024,50625.0
504,1,685,9539,10224,256,1024,50583.3
505,0,738,9569,10307,256,1024,50833.3
506,1,690,9599,10289,256,1024,50625.0
507,0,738,9569,10307,256,1024,50625.0
508,0,738,9569,10307,256,1024,50625.0
509,1,682,9593,10275,256,1024,50625.0
510,0,738,9569,10307,256,1024,50666.7
511,1,687,9539,10226,256,1024,50666.7
512,0,738,9569,10307,256,1024,50583.3
513,1,682,9518,10200,256,1024,50583.3
514,1,671,9455,10126,256,1024,50583.3
515,0,738,9569,10307,256,1024,50625.0
516,0,738,9569,10307,256,1024,50583.3
517,0,738,9569,10307,256,1024,50708.3
518,1,692,9533,10225,256,1024,50625.0
519,1,685,9547,10232,256,1024,50583.3
520,0,738,9569,10307,256,1024,50708.3
521,0,738,9569,10307,256,1024,50625.0
522,0,738,9569,10307,256,1024,50625.0
523,0,738,9569,10307,256,1024,50708.3
524,1,684,9517,10201,256,1024,50625.0
525,0,738,9569,10307,256,1024,50541.7
526,1,674,9582,10256,256,1024,50583.3
527,0,738,9569,10307,256,1024,50625.0
528,0,738,9569,10307,256,1024,50666.7
529,0,738,9569,10307,256,1024,50541.7
530,0,738,9569,10307,256,1024,57666.7
531,1,681,9558,10239,256,1024,50708.3
532,0,738,9569,10307,256,1024,50708.3
533,1,694,9603,10297,256,1024,50625.0
534,0,738,9569,10307,256,1024,53208.3
535,0,738,9569,10307,256,1024,53708.3
536,0,738,9569,10307,256,1024,51250.0
537,1,669,9550,10219,256,1024,50625.0
538,1,670,9577,10247,256,1024,50666.7
539,0,738,9569,10307,256,1024,50583.3
540,0,738,9569,10307,256,1024,50791.7
541,0,738,9569,10307,256,1024,50583.3
542,0,738,9569,10307,256,1024,50625.0
543,1,673,9553,10226,256,1024,50625.0
544,0,738,9569,10307,256,1024,50666.7
545,0,738,9569,10307,256,1024,50625.0
