sample,class,ks1_cycles,ks2_cycles,modelled_cycles,ks1_calls,ks2_calls,host_ns
353,0,0,0,0,0,0,50375.0
354,0,0,0,0,0,0,50375.0
355,1,0,0,0,0,0,50416.7
356,1,0,0,0,0,0,50500.0
357,1,0,0,0,0,0,50458.3
358,1,0,0,0,0,0,50416.7
359,0,0,0,0,0,0,50416.7
360,1,0,0,0,0,0,50375.0
361,0,0,0,0,0,0,50458.3
362,0,0,0,0,0,0,50375.0
363,0,0,0,0,0,0,50333.3
364,0,0,0,0,0,0,50375.0
365,1,0,0,0,0,0,52000.0
366,1,0,0,0,0,0,54041.7
367,0,0,0,0,0,0,50541.7
368,0,0,0,0,0,0,50375.0
369,0,0,0,0,0,0,50791.7
370,0,0,0,0,0,0,50500.0
371,0,0,0,0,0,0,50416.7
372,1,0,0,0,0,0,50333.3
373,1,0,0,0,0,0,50541.7
374,0,0,0,0,0,0,50458.3
375,1,0,0,0,0,0,50375.0
376,1,0,0,0,0,0,50500.0
377,1,0,0,0,0,0,50458.3
378,0,0,0,0,0,0,50458.3
379,0,0,0,0,0,0,50375.0
380,0,0,0,0,0,0,50541.7
381,1,0,0,0,0,0,50500.0
382,0,0,0,0,0,0,50458.3
383,0,0,0,0,0,0,50541.7
384,0,0,0,0,0,0,50375.0
385,1,0,0,0,0,0,50375.0
386,1,0,0,0,0,0,50416.7
387,1,0,0,0,0,0,50416.7
388,1,0,0,0,0,0,50375.0
389,1,0,0,0,0,0,50333.3
390,0,0,0,0,0,0,50416.7
391,0,0,0,0,0,0,52458.3
392,0,0,0,0,0,0,53791.7
393,0,0,0,0,0,0,52583.3
394,0,0,0,0,0,0,52583.3
395,1,0,0,0,0,0,50541.7
396,0,0,0,0,0,0,50708.3
397,1,0,0,0,0,0,50375.0
398,1,0,0,0,0,0,50500.0
399,0,0,0,0,0,0,50458.3
400,0,0,0,0,0,0,50458.3
401,0,0,0,0,0,0,50458.3
402,1,0,0,0,0,0,50333.3
403,1,0,0,0,0,0,50375.0
404,1,0,0,0,0,0,50416.7
405,1,0,0,0,0,0,50416.7
406,1,0,0,0,0,0,50500.0
407,0,0,0,0,0,0,50458.3
408,1,0,0,0,0,0,50416.7
409,1,0,0,0,0,0,50458.3
410,1,0,0,0,0,0,50541.7
411,0,0,0,0,0,0,50500.0
412,0,0,0,0,0,0,50458.3
413,0,0,0,0,0,0,50416.7
414,1,0,0,0,0,0,50416.7
415,1,0,0,0,0,0,50416.7
416,1,0,0,0,0,0,50416.7
417,1,0,0,0,0,0,50375.0
418,1,0,0,0,0,0,50416.7
419,0,0,0,0,0,0,50458.3
420,1,0,0,0,0,0,50458.3
421,0,0,0,0,0,0,50375.0
422,0,0,0,0,0,0,50458.3
423,1,0,0,0,0,0,52333.3
424,0,0,0,0,0,0,52166.7
425,0,0,0,0,0,0,54333.3
426,1,0,0,0,0,0,54125.0
427,0,0,0,0,0,0,54833.3
428,1,0,0,0,0,0,54833.3
429,0,0,0,0,0,0,54083.3
430,1,0,0,0,0,0,53541.7
431,1,0,0,0,0,0,52041.7
432,0,0,0,0,0,0,52125.0
433,1,0,0,0,0,0,52166.7
434,0,0,0,0,0,0,52000.0
435,0,0,0,0,0,0,52125.0
436,1,0,0,0,0,0,52333.3
437,1,0,0,0,0,0,52333.3
438,0,0,0,0,0,0,52166.7
439,1,0,0,0,0,0,52208.3
440,1,0,0,0,0,0,52250.0
441,0,0,0,0,0,0,52125.0
442,1,0,0,0,0,0,52333.3
443,0,0,0,0,0,0,52208.3
444,1,0,0,0,0,0,52333.3
445,1,0,0,0,0,0,52166.7
446,1,0,0,0,0,0,52541.7
447,1,0,0,0,0,0,53583.3
448,0,0,0,0,0,0,51708.3
449,1,0,0,0,0,0,50416.7
450,0,0,0,0,0,0,50541.7
451,1,0,0,0,0,0,50333.3
452,0,0,0,0,0,0,50291.7
453,0,0,0,0,0,0,50375.0
454,1,0,0,0,0,0,50416.7
455,0,0,0,0,0,0,50375.0
456,1,0,0,0,0,0,50291.7
457,1,0,0,0,0,0,50250.0
458,1,0,0,0,0,0,50375.0
459,1,0,0,0,0,0,50375.0
460,1,0,0,0,0,0,50333.3
461,0,0,0,0,0,0,50333.3
